name,number,address,website
10 Tib Lane,0161 833 1034,"10 Tib Ln, Manchester M2 4JB, UK",https://www.10tiblane.com/
Another hand,0161 834 2988,"Unit F, 253 Deansgate, Manchester M3 4EN, UK",http://anotherhandmcr.com/
The Refuge,0161 233 5151,"Oxford St, Manchester M60 7HA, UK",http://www.refugemcr.co.uk/
Tattu Manchester,0161 819 2060,"3 Hardman Square, Gartside St, Manchester M3 3EB, UK",https://tattu.co.uk/locations/manchester/
Namii Kitchen & Cocktails,0161 237 1979,"New York St, Manchester M1 4HN, UK",http://namii.co.uk/
El Gato Negro Tapas Manchester,0161 694 8585,"52 King St, Manchester M2 4LY, UK",https://www.elgatonegrotapas.com/
Grand Pacific,0161 839 9365,"50 Spring Gardens, Manchester M2 1EN, UK",http://www.grandpacific.uk.com/
Manchester Sora Restaurant,0330 016 0380,"23 Princess St, Manchester M2 4EB, UK",https://www.malmaison.com/locations/manchester-deansgate/sora/
Vincenzo Trattoria,0161 833 1000,"34 St Ann St, Manchester M2 7LE, UK",http://www.vincenzomanchester.co.uk/
"Fenix Restaurant and Bar, Manchester",0161 646 0321,"The Goods Yard Building Goods Yard Street, Manchester M3 3BG, UK",http://www.fenixrestaurants.com/
Gaucho Manchester,0161 833 4333,"2A St Mary's St, Manchester M3 2LB, UK",https://gauchorestaurants.com/restaurants/manchester/?utm_source=google&utm_medium=organic&utm_campaign=manchester_gmb
Kala,0161 839 3030,"55 King St, Manchester M2 4LQ, UK",https://www.kalabistro.co.uk/
Albert's Shed Restaurant Manchester,0161 839 9818,"18-20 Castle St, Manchester M3 4LZ, UK",http://alberts-restaurants.com/shed/
Hawksmoor Manchester,0161 836 6980,"184, 186 Deansgate, Manchester M3 3WB, UK",http://thehawksmoor.com/locations/manchester?y_source=1_MjQyMjUwMzUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
20 Stories,0161 204 3333,"No. 1, 1 Hardman St, Manchester M3 3EB, UK",http://20stories.co.uk/
Lucky Cat by Gordon Ramsay - Manchester,0161 424 9150,"100 King St, Manchester M2 4WU, UK",https://www.gordonramsayrestaurants.com/lucky-cat-manchester/
Six by Nico Spring Gardens,0161 832 1815,"60 Spring Gardens, Manchester M2 2BQ, UK",https://www.sixbynico.co.uk/manchester/
Maray Manchester,0151 347 0214,"14 Brazennose St, Manchester M2 6LW, UK",https://maray.co.uk/
Yard & Coop Manchester,0161 710 2570,"37 Edge St, Manchester M4 1HW, UK",http://www.yardandcoop.com/
Australasia,0161 831 0288,"1 The Avenue, Deansgate, Manchester M3 3AP, UK",http://australasia.uk.com/
MyLahore Manchester,0161 248 8887,"14-18 Wilmslow Rd, Manchester M14 5TQ, UK",http://www.mylahore.co.uk/
Rudy's Pizza Napoletana - Portland Street,0161 532 2922,"30 Portland St, Manchester M1 4GS, UK",http://www.rudyspizza.co.uk/
TNQ - The Northern Quarter Restaurant & Bar,0161 832 7115,"108 High St, Manchester M4 1HQ, UK",http://www.tnq.co.uk/
Annies,0161 839 4423,"5 Old Bank St, Manchester M2 7PE, UK",http://www.anniesmanchester.co.uk/
Blacklock Manchester,0161 414 0225,"37 Peter St, Manchester M2 5GB, UK",https://theblacklock.com/restaurants/manchester/
San Carlo - Manchester,0161 834 6226,"42 King St W, Manchester M3 2WY, UK",https://sancarlo.co.uk/restaurants/san-carlo-manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=manchester
Comptoir Libanais Manchester,0161 672 3999,"18-19 The Avenue, Manchester M3 3HF, UK",https://www.comptoirlibanais.com/restaurants/manchester
Dom's Italia,0161 834 2649,"374 Deansgate, Castle St, Manchester M3 4LY, UK",http://www.domsitalia.com/
Turtle Bay Manchester Oxford Rd,0161 236 4101,"33-35 Oxford St, Manchester M1 4WB, UK",http://www.turtlebay.co.uk/locations/manchester-oxford-st/?utm_source=ExtNet&utm_medium=Yext
Dishoom Manchester,0161 537 3737,"32 Bridge St, Manchester M3 3BT, UK",https://www.dishoom.com/manchester?utm_source=google&utm_medium=organic&utm_campaign=Yext&utm_content=D7-Manchester&y_source=1_MjMwNDkyMDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Tampopo Albert Square,0161 819 1966,"16 Albert Square, Manchester M2 5PF, UK",https://tampopo.co.uk/
Masons,0161 359 6952,"Ground Floor, Manchester Hall, 36 Bridge St, Manchester M3 3BT, UK",http://www.masonsrestaurantbar.co.uk/
Turtle Bay Manchester Northern Quarter,0161 235 8411,"46-50 Oldham St, Manchester M4 1LE, UK",https://turtlebay.co.uk/restaurants/manchester-nq?utm_source=ExtNet&utm_medium=Yext
Jood Restaurant open now,07867 524727,"37 John Dalton St, Manchester M2 6DN, UK",http://www.joodrestaurant.com/
Don Giovanni - Italian Restaurant Manchester,0161 228 2482,"1, Peter House, Oxford St, Manchester M1 5AN, UK",https://dongiovanni.uk.com/
Evuna Deansgate,0161 819 2752,"277-279 Deansgate, Manchester M3 4EW, UK",https://www.evuna.com/
Almost Famous GN,0161 219 8721,"UNIT 2, GREAT NORTHERN, Peter St, Manchester M3 4EN, UK",http://www.almostfamousburgers.com/
One Plus Chinese Restaurant,0161 273 2888,"42 Charles St, Manchester M1 7DB, UK",http://www.oneplusrestaurant.co.uk/booking/
Armenian Taverna & Restaurant,0161 834 9025,"3-5 Princess St, Manchester M2 4DF, UK",https://www.armeniantaverna.co.uk/
Gino D'Acampo Manchester,0161 529 5990,"First St, Manchester, Innside M15 4RP, UK",https://ginorestaurants.com/
Sapporo Teppanyaki Manchester,0161 831 9888,"91-93 Liverpool Rd, Manchester M3 4JN, UK",http://www.sapporo.co.uk/
Istanbul Restaurant Manchester,0161 795 5502,"2 Bury Old Rd, Manchester M8 9JN, UK",https://istanbulrestaurantmanchester.co.uk/
Italiana Fifty Five Great Northern,0161 243 1532,"Unit 4, Great Northern Warehouse, Manchester M3 4EN, UK",https://italianafiftyfive.co.uk/
Mackie Mayor,0161 111 1111,"Smithfield Market Hall, 1 Eagle St, Manchester M4 5BU, UK",N/a
Three Little Words,0161 519 4400,"10-15 Watson St, Manchester M3 4LP, UK",https://threelittlewordsmcr.co.uk/?utm_source=googlemaps&utm_medium=organic
Dukes 92,0161 839 8642,"18 - 25 Castle St, Manchester M3 4LZ, UK",http://www.dukes92.com/
SANGAM MANCHESTER,0161 236 1313,"98 Portland St, Manchester M1 4GX, UK",https://www.sangam.co.uk/restaurants/sangam-manchester-city-centre/book-sangam-manchester/
"Riva Blu Italian Restaurant & Bar, Manchester",0161 827 4200,"The Corn Exchange, 11 Corn Exchange, Manchester M4 3TR, UK",https://rivablu.co.uk/manchester/
Browns Manchester,0161 819 1055,"1 York St, Greater, Manchester M2 2AW, UK",https://www.browns-restaurants.co.uk/restaurants/northwest/manchester?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage
Fazenda Rodizio Bar & Grill Manchester,0161 207 1183,"The Avenue, Manchester M3 3AP, UK",https://fazenda.co.uk/location/manchester?utm_source=gbp&utm_medium=organic&utm_campaign=gbp-listing&utm_content=fazenda-manchester
Teppanyaki Chinatown,0161 228 2219,"58, 60 George St, Manchester M1 4HF, UK",http://www.teppanyakichinatown.com/
63 Degrees,0161 832 5438,"104 High St, Manchester M4 1HQ, UK",http://www.63degrees.co.uk/
Bill's Spinningfields Restaurant,020 8054 5400,"3 Hardman Square, Manchester M3 3EB, UK",https://bills-website.co.uk/restaurants/spinningfields-manchester/?utm_source=LocalGoogle&utm_medium=Organic
"Piccolino Caffé Grande, Manchester",0161 835 9860,"8 Clarence St, Manchester M2 4DW, UK",https://piccolinorestaurants.com/our-restaurants/manchester/
Gusto Italian,0161 641 1120,"4 Lloyd St, Manchester M2 5AB, UK",http://gustorestaurants.uk.com/restaurant/manchester/
Tast Catala,0161 806 0547,"20-22 King St, Manchester M2 6AG, UK",http://www.tastcatala.com/
Caravan Restaurant Manchester,0161 507 7200,"6 Goods Yard St, Manchester M3 3BG, UK",https://caravanandco.com/
Fumo by San Carlo - Manchester,0161 236 7344,"1 St Peter's Sq, Oxford St, Manchester M1 5AN, UK",https://sancarlo.co.uk/restaurants/fumo-manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=manchester
Mowgli Street Food Corn Exchange,0161 832 0566,"16, Corn Exchange House, 37 Exchange St, Manchester M4 3TR, UK",https://www.mowglistreetfood.com/restaurants/manchester/
Albert's Schloss - Manchester,0161 833 4040,"27 Peter St, Manchester M2 5QR, UK",https://albertsschloss.com/
