name,number,address,website
Tattu Manchester,0161 819 2060,"3 Hardman Square, Gartside St, Manchester M3 3EB, UK",https://tattu.co.uk/locations/manchester/
MyLahore Manchester,0161 248 8887,"14-18 Wilmslow Rd, Manchester M14 5TQ, UK",http://www.mylahore.co.uk/
El Gato Negro Tapas Manchester,0161 694 8585,"52 King St, Manchester M2 4LY, UK",https://www.elgatonegrotapas.com/
The Refuge,0161 233 5151,"Oxford St, Manchester M60 7HA, UK",http://www.refugemcr.co.uk/
Gaucho Manchester,0161 833 4333,"2A St Mary's St, Manchester M3 2LB, UK",https://gauchorestaurants.com/restaurants/manchester/?utm_source=google&utm_medium=organic&utm_campaign=manchester_gmb
Grand Pacific,0161 839 9365,"50 Spring Gardens, Manchester M2 1EN, UK",http://www.grandpacific.uk.com/
Turtle Bay Manchester Northern Quarter,0161 235 8411,"46-50 Oldham St, Manchester M4 1LE, UK",https://turtlebay.co.uk/restaurants/manchester-nq?utm_source=ExtNet&utm_medium=Yext
TNQ - The Northern Quarter Restaurant & Bar,0161 832 7115,"108 High St, Manchester M4 1HQ, UK",http://www.tnq.co.uk/
Comptoir Libanais Manchester,0161 672 3999,"18-19 The Avenue, Manchester M3 3HF, UK",https://www.comptoirlibanais.com/restaurants/manchester
Dishoom Manchester,0161 537 3737,"32 Bridge St, Manchester M3 3BT, UK",https://www.dishoom.com/manchester?utm_source=google&utm_medium=organic&utm_campaign=Yext&utm_content=D7-Manchester&y_source=1_MjMwNDkyMDgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Australasia,0161 831 0288,"1 The Avenue, Deansgate, Manchester M3 3AP, UK",http://australasia.uk.com/
Six by Nico Spring Gardens,0161 832 1815,"60 Spring Gardens, Manchester M2 2BQ, UK",https://www.sixbynico.co.uk/manchester/
Vincenzo Trattoria,0161 833 1000,"34 St Ann St, Manchester M2 7LE, UK",http://www.vincenzomanchester.co.uk/
San Carlo - Manchester,0161 834 6226,"42 King St W, Manchester M3 2WY, UK",https://sancarlo.co.uk/restaurants/san-carlo-manchester/?utm_source=google&utm_medium=organic_gbp&utm_campaign=manchester
Turtle Bay Manchester Oxford Rd,0161 236 4101,"33-35 Oxford St, Manchester M1 4WB, UK",http://www.turtlebay.co.uk/locations/manchester-oxford-st/?utm_source=ExtNet&utm_medium=Yext
